time, Quad.IMU.AX
0.005000,0.143543
0.010000,-0.840794
0.015000,0.020241
0.020000,-0.815346
0.025000,0.889569
0.030000,-0.283546
0.035000,-1.127514
0.040000,-0.490730
0.045000,0.124953
0.050000,-0.378591
0.055000,0.414474
0.060000,-0.052204
0.065000,-0.341463
0.070000,-0.879443
0.075000,-0.577161
0.080000,0.004163
0.085000,-0.343350
0.090000,-0.166417
0.095000,-0.484424
0.100000,0.177775
0.105000,-0.326121
0.110000,0.055001
0.115000,0.014230
0.120000,-0.528998
0.125000,-0.916996
0.130000,0.553337
0.135000,-0.164625
0.140000,0.115012
0.145000,0.671069
0.150000,-0.163120
0.155000,-0.230914
0.160000,0.652854
0.165000,0.420911
0.170000,-1.036443
0.175000,0.208421
0.180000,0.332928
0.185000,-0.402580
0.190000,0.142220
0.195000,0.438971
0.200000,0.128923
0.205000,-0.440486
0.210000,0.129291
0.215000,0.489700
0.220000,-0.095263
0.225000,-0.074586
0.230000,0.508681
0.235000,-0.155694
0.240000,0.520868
0.245000,0.050308
0.250000,-0.679422
0.255000,0.120565
0.260000,1.060214
0.265000,-0.287257
0.270000,0.554020
0.275000,-0.380985
0.280000,-0.120170
0.285000,0.163061
0.290000,-1.100348
0.295000,0.115286
0.300000,0.260864
0.305000,-0.518014
0.310000,-0.279281
0.314999,-0.301503
0.319999,0.054652
0.324999,-0.516190
0.329999,-0.046346
0.334999,0.033663
0.339999,0.908353
0.344999,-0.144672
0.349999,1.063261
0.354999,0.404829
0.359999,-0.995422
0.364999,-0.615441
0.369999,-0.024054
0.374999,-0.062628
0.379999,0.375895
0.384999,-0.437955
0.389999,0.926243
0.394998,-0.489727
0.399998,0.495073
0.404998,-0.519239
0.409998,0.008055
0.414998,-0.121334
0.419998,0.250954
0.424998,-0.065735
0.429998,0.080867
0.434998,0.018116
0.439998,0.233187
0.444998,0.133580
0.449998,0.024548
0.454998,0.124255
0.459998,-0.532699
0.464998,0.338178
0.469997,-0.492890
0.474997,-1.596225
0.479997,-0.665288
0.484997,0.655340
0.489997,-0.120858
0.494997,-0.743149
0.499997,-0.932843
0.504997,0.323882
0.509997,-0.005174
0.514997,0.178428
0.519997,-0.007743
0.524997,-0.147493
0.529997,0.490052
0.534997,-0.365448
0.539997,-0.850714
0.544997,0.405116
0.549996,0.394540
0.554996,0.164230
0.559996,0.943212
0.564996,0.582779
0.569996,1.343280
0.574996,0.250307
0.579996,-0.534203
0.584996,-0.109204
0.589996,-0.632606
0.594996,0.188914
0.599996,-0.019067
0.604996,0.355945
0.609996,-0.223186
0.614996,-0.011953
0.619996,-0.525699
0.624996,0.202154
0.629995,0.522867
0.634995,0.170476
0.639995,-0.927080
0.644995,-0.526352
0.649995,0.627444
0.654995,0.166869
0.659995,-0.330671
0.664995,0.083046
0.669995,-0.362694
0.674995,-0.073338
0.679995,0.138821
0.684995,0.705584
0.689995,-0.039536
0.694995,-0.012116
0.699995,0.380559
0.704994,0.933850
0.709994,0.461146
0.714994,0.144873
0.719994,-0.228826
0.724994,-0.449154
0.729994,0.030308
0.734994,0.548285
0.739994,-0.083878
0.744994,-0.132110
0.749994,0.051679
0.754994,0.135792
0.759994,0.504362
0.764994,0.770640
0.769994,-0.086057
0.774994,0.304249
0.779994,-0.352493
0.784993,-0.250216
0.789993,-0.484892
0.794993,-0.511734
0.799993,-0.337437
0.804993,-0.192622
0.809993,-0.640425
0.814993,-0.659015
0.819993,0.097586
0.824993,-0.363668
0.829993,-0.107846
0.834993,-0.380817
0.839993,0.079856
0.844993,0.861863
0.849993,0.522623
0.854993,-0.471743
0.859993,-0.609754
0.864992,0.136652
0.869992,0.183715
0.874992,-0.581106
0.879992,-0.141021
0.884992,0.125441
0.889992,0.201258
0.894992,0.450429
0.899992,-0.555694
0.904992,0.138834
0.909992,-0.604335
0.914992,0.527864
0.919992,0.520323
0.924992,-0.451069
0.929992,-0.895732
0.934992,0.174117
0.939991,0.810063
0.944991,0.177558
0.949991,-1.347189
0.954991,-0.446648
0.959991,-0.353389
0.964991,0.134381
0.969991,0.025549
0.974991,-0.008464
0.979991,-0.297124
0.984991,-0.267720
0.989991,0.030511
0.994991,-0.447712
0.999991,0.044152
1.004991,0.576702
1.009991,-0.080613
1.014991,0.634932
1.019992,0.004619
1.024992,-0.769374
1.029992,-0.698941
1.034992,-0.057253
1.039993,1.041322
1.044993,0.730164
1.049993,0.217696
1.054993,0.518269
1.059994,0.387022
1.064994,-1.387803
1.069994,0.380265
1.074994,0.338974
1.079994,0.277575
1.084995,0.173844
1.089995,0.000626
1.094995,0.230365
1.099995,-0.309070
1.104996,0.507718
1.109996,-0.241425
1.114996,-0.206118
1.119996,0.878954
1.124997,0.664749
1.129997,0.209314
1.134997,-0.220103
1.139997,-0.137777
1.144997,0.151509
1.149998,0.267968
1.154998,-0.272485
1.159998,0.436080
1.164998,-0.082425
1.169999,0.013012
1.174999,-1.059693
1.179999,0.339906
1.184999,-1.744946
1.190000,0.172364
1.195000,0.404129
1.200000,0.595889
1.205000,-1.449242
1.210001,-0.745892
1.215001,0.219843
1.220001,-0.286854
1.225001,-0.511849
1.230001,0.349881
1.235002,-0.572869
1.240002,-0.012266
1.245002,-0.848522
1.250002,-0.025497
1.255003,-0.286877
1.260003,0.511021
1.265003,0.047414
1.270003,1.012966
1.275004,0.242403
1.280004,0.192558
1.285004,-1.119495
1.290004,-0.172020
1.295004,-0.530774
1.300005,-0.628882
1.305005,-0.229074
1.310005,0.376044
1.315005,-0.506542
1.320006,0.011828
1.325006,-0.964631
1.330006,1.452829
1.335006,-0.037602
1.340007,0.022436
1.345007,-0.320194
1.350007,0.634013
1.355007,-0.698923
1.360008,-0.356989
1.365008,-0.231570
1.370008,0.344685
1.375008,-0.325023
1.380008,-0.533440
1.385009,0.550653
1.390009,0.581255
1.395009,-0.810310
1.400009,-0.629868
1.405010,-0.045917
1.410010,0.677030
1.415010,0.232144
1.420010,-0.401947
1.425011,0.131435
1.430011,0.884749
1.435011,0.398782
1.440011,-0.441741
1.445011,-0.544843
1.450012,0.701389
1.455012,0.025894
1.460012,-0.540825
1.465012,0.128372
1.470013,-0.117417
1.475013,0.079631
1.480013,0.898220
1.485013,1.109649
1.490014,0.835635
1.495014,0.338318
1.500014,-0.346758
1.505014,0.203201
1.510015,-0.061395
1.515015,-0.704741
1.520015,-0.059218
1.525015,0.236831
1.530015,0.323718
1.535016,-0.355869
1.540016,0.188810
1.545016,0.272564
1.550016,0.319718
1.555017,0.257642
1.560017,0.152190
1.565017,0.717250
1.570017,-0.553697
1.575018,0.166833
1.580018,0.207301
1.585018,0.097294
1.590018,-0.237196
1.595019,0.511650
1.600019,0.434255
1.605019,0.295068
1.610019,-0.208830
1.615019,-0.161916
1.620020,-0.437892
