time, Quad.GPS.X
0.105000,0.929737
0.205000,-0.850823
0.305000,-0.294811
0.404998,0.645203
0.504997,-0.905635
0.604996,-0.285238
0.704994,0.274753
0.804993,0.895082
0.904992,-0.066627
1.004991,-0.078408
1.104996,0.693905
1.205000,-0.048165
1.305005,0.607459
1.405010,-0.699745
1.505014,0.150724
1.605019,0.017546
1.705024,0.292326
1.805028,-0.729868
1.905033,-0.011611
2.005037,0.544310
2.105030,-0.793648
2.205023,-0.124132
2.305015,1.235358
2.405008,-0.554300
2.505001,-0.173594
2.604994,0.654351
2.704986,-0.093906
2.804979,0.320768
2.904972,-0.336610
3.004965,0.796209
3.104957,-0.426444
3.204950,-0.207256
3.304943,-1.280966
3.404936,0.301859
3.504928,-1.102219
3.604921,-0.814944
3.704914,-0.315480
3.804907,0.773314
3.904899,-0.124424
4.004892,-0.276790
4.104885,-0.704202
4.204878,-0.603579
4.304871,0.683942
4.404863,0.324485
4.504856,0.753510
4.604849,-0.654642
4.704842,-0.444976
4.804834,1.085080
4.904827,0.235418
5.004820,0.300283
5.104813,0.433597
5.204805,-0.478286
5.304798,-1.190896
5.404791,1.511524
5.504784,-0.935850
5.604776,0.524585
5.704769,-0.829378
5.804762,0.894791
5.904755,0.964768
6.004747,0.311469
6.104740,-0.537739
6.204733,0.566942
6.304726,0.376432
6.404718,1.460159
6.504711,-1.057240
6.604704,1.148526
6.704697,-0.201995
6.804689,-0.872262
6.904682,1.044550
7.004675,0.244510
7.104668,0.191801
7.204660,0.202207
7.304653,-0.435717
7.404646,-0.622554
7.504639,-0.066232
7.604631,0.665753
7.704624,-0.437985
7.804617,0.321153
7.904610,0.140872
8.004604,1.233532
